date,pnl,rank
2020-03-12,-64902.77677095182,1
2020-03-16,-55569.977607057845,2
2020-03-18,-48710.68644755863,3
2020-03-09,-41854.734204931534,4
2020-03-11,-39894.06550272362,5
2022-06-13,-35210.263636657335,6
2020-06-11,-32031.330594762945,7
2022-05-05,-29232.00333976749,8
2022-09-13,-28056.905840756503,9
2011-08-08,-27735.22748197271,10
