Date,ES_95,ES_99
2010-01-05,,
2010-01-06,,
2010-01-07,,
2010-01-08,,
2010-01-11,,
2010-01-12,,
2010-01-13,,
2010-01-14,,
2010-01-15,,
2010-01-19,,
2010-01-20,,
2010-01-21,,
2010-01-22,,
2010-01-25,,
2010-01-26,,
2010-01-27,,
2010-01-28,,
2010-01-29,,
2010-02-01,,
2010-02-02,,
2010-02-03,,
2010-02-04,,
2010-02-05,,
2010-02-08,,
2010-02-09,,
2010-02-10,,
2010-02-11,,
2010-02-12,,
2010-02-16,,
2010-02-17,,
2010-02-18,,
2010-02-19,,
2010-02-22,,
2010-02-23,,
2010-02-24,,
2010-02-25,,
2010-02-26,,
2010-03-01,,
2010-03-02,,
2010-03-03,,
2010-03-04,,
2010-03-05,,
2010-03-08,,
2010-03-09,,
2010-03-10,,
2010-03-11,,
2010-03-12,,
2010-03-15,,
2010-03-16,,
2010-03-17,,
2010-03-18,,
2010-03-19,,
2010-03-22,,
2010-03-23,,
2010-03-24,,
2010-03-25,,
2010-03-26,,
2010-03-29,,
2010-03-30,,
2010-03-31,,
2010-04-01,,
2010-04-05,,
2010-04-06,,
2010-04-07,,
2010-04-08,,
2010-04-09,,
2010-04-12,,
2010-04-13,,
2010-04-14,,
2010-04-15,,
2010-04-16,,
2010-04-19,,
2010-04-20,,
2010-04-21,,
2010-04-22,,
2010-04-23,,
2010-04-26,,
2010-04-27,,
2010-04-28,,
2010-04-29,,
2010-04-30,,
2010-05-03,,
2010-05-04,,
2010-05-05,,
2010-05-06,,
2010-05-07,,
2010-05-10,,
2010-05-11,,
2010-05-12,,
2010-05-13,,
2010-05-14,,
2010-05-17,,
2010-05-18,,
2010-05-19,,
2010-05-20,,
2010-05-21,,
2010-05-24,,
2010-05-25,,
2010-05-26,,
2010-05-27,,
2010-05-28,,
2010-06-01,,
2010-06-02,,
2010-06-03,,
2010-06-04,,
2010-06-07,,
2010-06-08,,
2010-06-09,,
2010-06-10,,
2010-06-11,,
2010-06-14,,
2010-06-15,,
2010-06-16,,
2010-06-17,,
2010-06-18,,
2010-06-21,,
2010-06-22,,
2010-06-23,,
2010-06-24,,
2010-06-25,,
2010-06-28,,
2010-06-29,,
2010-06-30,,
2010-07-01,,
2010-07-02,,
2010-07-06,,
2010-07-07,,
2010-07-08,,
2010-07-09,,
2010-07-12,,
2010-07-13,,
2010-07-14,,
2010-07-15,,
2010-07-16,,
2010-07-19,,
2010-07-20,,
2010-07-21,,
2010-07-22,,
2010-07-23,,
2010-07-26,,
2010-07-27,,
2010-07-28,,
2010-07-29,,
2010-07-30,,
2010-08-02,,
2010-08-03,,
2010-08-04,,
2010-08-05,,
2010-08-06,,
2010-08-09,,
2010-08-10,,
2010-08-11,,
2010-08-12,,
2010-08-13,,
2010-08-16,,
2010-08-17,,
2010-08-18,,
2010-08-19,,
2010-08-20,,
2010-08-23,,
2010-08-24,,
2010-08-25,,
2010-08-26,,
2010-08-27,,
2010-08-30,,
2010-08-31,,
2010-09-01,,
2010-09-02,,
2010-09-03,,
2010-09-07,,
2010-09-08,,
2010-09-09,,
2010-09-10,,
2010-09-13,,
2010-09-14,,
2010-09-15,,
2010-09-16,,
2010-09-17,,
2010-09-20,,
2010-09-21,,
2010-09-22,,
2010-09-23,,
2010-09-24,,
2010-09-27,,
2010-09-28,,
2010-09-29,,
2010-09-30,,
2010-10-01,,
2010-10-04,,
2010-10-05,,
2010-10-06,,
2010-10-07,,
2010-10-08,,
2010-10-11,,
2010-10-12,,
2010-10-13,,
2010-10-14,,
2010-10-15,,
2010-10-18,,
2010-10-19,,
2010-10-20,,
2010-10-21,,
2010-10-22,,
2010-10-25,,
2010-10-26,,
2010-10-27,,
2010-10-28,,
2010-10-29,,
2010-11-01,,
2010-11-02,,
2010-11-03,,
2010-11-04,,
2010-11-05,,
2010-11-08,,
2010-11-09,,
2010-11-10,,
2010-11-11,,
2010-11-12,,
2010-11-15,,
2010-11-16,,
2010-11-17,,
2010-11-18,,
2010-11-19,,
2010-11-22,,
2010-11-23,,
2010-11-24,,
2010-11-26,,
2010-11-29,,
2010-11-30,,
2010-12-01,,
2010-12-02,,
2010-12-03,,
2010-12-06,,
2010-12-07,,
2010-12-08,,
2010-12-09,,
2010-12-10,,
2010-12-13,,
2010-12-14,,
2010-12-15,,
2010-12-16,,
2010-12-17,,
2010-12-20,,
2010-12-21,,
2010-12-22,,
2010-12-23,,
2010-12-27,,
2010-12-28,,
2010-12-29,,
2010-12-30,,
2010-12-31,,
2011-01-03,-14397.396085044391,-19136.15259202225
2011-01-04,-14397.396085044391,-19136.15259202225
2011-01-05,-14397.396085044391,-19136.15259202225
2011-01-06,-14397.396085044391,-19136.15259202225
2011-01-07,-14397.396085044391,-19136.15259202225
2011-01-10,-14397.396085044391,-19136.15259202225
2011-01-11,-14397.396085044391,-19136.15259202225
2011-01-12,-14397.396085044391,-19136.15259202225
2011-01-13,-14397.396085044391,-19136.15259202225
2011-01-14,-14397.396085044391,-19136.15259202225
2011-01-18,-14397.396085044391,-19136.15259202225
2011-01-19,-14397.396085044391,-19136.15259202225
2011-01-20,-14269.629473207007,-19136.15259202225
2011-01-21,-14015.524582136575,-19136.15259202225
2011-01-24,-14015.524582136575,-19136.15259202225
2011-01-25,-14015.524582136575,-19136.15259202225
2011-01-26,-14015.524582136575,-19136.15259202225
2011-01-27,-14015.524582136575,-19136.15259202225
2011-01-28,-14015.524582136575,-19136.15259202225
2011-01-31,-14015.524582136575,-19136.15259202225
2011-02-01,-14015.524582136575,-19136.15259202225
2011-02-02,-14015.524582136575,-19136.15259202225
2011-02-03,-13197.60973778217,-17436.479654393668
2011-02-04,-13197.60973778217,-17436.479654393668
2011-02-07,-13197.60973778217,-17436.479654393668
2011-02-08,-13197.60973778217,-17436.479654393668
2011-02-09,-13197.60973778217,-17436.479654393668
2011-02-10,-13197.60973778217,-17436.479654393668
2011-02-11,-13197.60973778217,-17436.479654393668
2011-02-14,-13197.60973778217,-17436.479654393668
2011-02-15,-13197.60973778217,-17436.479654393668
2011-02-16,-13197.60973778217,-17436.479654393668
2011-02-17,-13197.60973778217,-17436.479654393668
2011-02-18,-13197.60973778217,-17436.479654393668
2011-02-22,-13197.60973778217,-17436.479654393668
2011-02-23,-13197.60973778217,-17436.479654393668
2011-02-24,-13197.60973778217,-17436.479654393668
2011-02-25,-13197.60973778217,-17436.479654393668
2011-02-28,-13197.60973778217,-17436.479654393668
2011-03-01,-13197.60973778217,-17436.479654393668
2011-03-02,-13197.60973778217,-17436.479654393668
2011-03-03,-13197.60973778217,-17436.479654393668
2011-03-04,-13197.60973778217,-17436.479654393668
2011-03-07,-13197.60973778217,-17436.479654393668
2011-03-08,-13197.60973778217,-17436.479654393668
2011-03-09,-13197.60973778217,-17436.479654393668
2011-03-10,-13197.60973778217,-17436.479654393668
2011-03-11,-13197.60973778217,-17436.479654393668
2011-03-14,-13197.60973778217,-17436.479654393668
2011-03-15,-13197.60973778217,-17436.479654393668
2011-03-16,-13197.60973778217,-17436.479654393668
2011-03-17,-13197.60973778217,-17436.479654393668
2011-03-18,-13197.60973778217,-17436.479654393668
2011-03-21,-13197.60973778217,-17436.479654393668
2011-03-22,-13197.60973778217,-17436.479654393668
2011-03-23,-13080.004995281633,-17436.479654393668
2011-03-24,-13080.004995281633,-17436.479654393668
2011-03-25,-13080.004995281633,-17436.479654393668
2011-03-28,-13080.004995281633,-17436.479654393668
2011-03-29,-13080.004995281633,-17436.479654393668
2011-03-30,-13080.004995281633,-17436.479654393668
2011-03-31,-13080.004995281633,-17436.479654393668
2011-04-01,-13080.004995281633,-17436.479654393668
2011-04-04,-13080.004995281633,-17436.479654393668
2011-04-05,-13080.004995281633,-17436.479654393668
2011-04-06,-13080.004995281633,-17436.479654393668
2011-04-07,-13080.004995281633,-17436.479654393668
2011-04-08,-13080.004995281633,-17436.479654393668
2011-04-11,-13080.004995281633,-17436.479654393668
2011-04-12,-13080.004995281633,-17436.479654393668
2011-04-13,-13080.004995281633,-17436.479654393668
2011-04-14,-12880.780981107333,-17436.479654393668
2011-04-15,-12880.780981107333,-17436.479654393668
2011-04-18,-12880.780981107333,-17436.479654393668
2011-04-19,-12880.780981107333,-17436.479654393668
2011-04-20,-12880.780981107333,-17436.479654393668
2011-04-21,-12880.780981107333,-17436.479654393668
2011-04-25,-12880.780981107333,-17436.479654393668
2011-04-26,-12880.780981107333,-17436.479654393668
2011-04-27,-12880.780981107333,-17436.479654393668
2011-04-28,-12880.780981107333,-17436.479654393668
2011-04-29,-12880.780981107333,-17436.479654393668
2011-05-02,-12880.780981107333,-17436.479654393668
2011-05-03,-12677.514150424793,-17436.479654393668
2011-05-04,-12677.514150424793,-17436.479654393668
2011-05-05,-12663.895374350164,-17436.479654393668
2011-05-06,-12317.218374160571,-17436.479654393668
2011-05-09,-12317.218374160571,-17436.479654393668
2011-05-10,-12317.218374160571,-17436.479654393668
2011-05-11,-12317.218374160571,-17436.479654393668
2011-05-12,-12317.218374160571,-17436.479654393668
2011-05-13,-12317.218374160571,-17436.479654393668
2011-05-16,-12317.218374160571,-17436.479654393668
2011-05-17,-12317.218374160571,-17436.479654393668
2011-05-18,-12317.218374160571,-17436.479654393668
2011-05-19,-11453.136889940562,-15750.588459466771
2011-05-20,-11453.136889940562,-15750.588459466771
2011-05-23,-11453.136889940562,-15750.588459466771
2011-05-24,-11453.136889940562,-15750.588459466771
2011-05-25,-11453.136889940562,-15750.588459466771
2011-05-26,-11453.136889940562,-15750.588459466771
2011-05-27,-11453.136889940562,-15750.588459466771
2011-05-31,-11453.136889940562,-15750.588459466771
2011-06-01,-11632.972325022529,-15750.588459466771
2011-06-02,-11632.972325022529,-15750.588459466771
2011-06-03,-11201.597966293128,-15750.588459466771
2011-06-06,-11229.205317335203,-15750.588459466771
2011-06-07,-11229.205317335203,-15750.588459466771
2011-06-08,-11229.205317335203,-15750.588459466771
2011-06-09,-11229.205317335203,-15750.588459466771
2011-06-10,-11229.205317335203,-15750.588459466771
2011-06-13,-11229.205317335203,-15750.588459466771
2011-06-14,-11229.205317335203,-15750.588459466771
2011-06-15,-11229.205317335203,-15750.588459466771
2011-06-16,-11229.205317335203,-15750.588459466771
2011-06-17,-11229.205317335203,-15750.588459466771
2011-06-20,-11229.205317335203,-15750.588459466771
2011-06-21,-11229.205317335203,-15750.588459466771
2011-06-22,-11229.205317335203,-15750.588459466771
2011-06-23,-10977.708367788036,-15750.588459466771
2011-06-24,-11159.86879683014,-15750.588459466771
2011-06-27,-11159.86879683014,-15750.588459466771
2011-06-28,-10539.101324954881,-14752.054233003764
2011-06-29,-10539.101324954881,-14752.054233003764
2011-06-30,-10504.358955638238,-14752.054233003764
2011-07-01,-10504.358955638238,-14752.054233003764
2011-07-05,-10504.358955638238,-14752.054233003764
2011-07-06,-10504.358955638238,-14752.054233003764
2011-07-07,-10504.358955638238,-14752.054233003764
2011-07-08,-10504.358955638238,-14752.054233003764
2011-07-11,-10504.358955638238,-14752.054233003764
2011-07-12,-10504.358955638238,-14752.054233003764
2011-07-13,-10504.358955638238,-14752.054233003764
2011-07-14,-10504.358955638238,-14752.054233003764
2011-07-15,-9737.294146380975,-13010.812143026737
2011-07-18,-9737.294146380975,-13010.812143026737
2011-07-19,-9737.294146380975,-13010.812143026737
2011-07-20,-9737.294146380975,-13010.812143026737
2011-07-21,-9737.294146380975,-13010.812143026737
2011-07-22,-9737.294146380975,-13010.812143026737
2011-07-25,-9737.294146380975,-13010.812143026737
2011-07-26,-9737.294146380975,-13010.812143026737
2011-07-27,-10151.445468176851,-13222.76245400442
2011-07-28,-10151.445468176851,-13222.76245400442
2011-07-29,-10151.445468176851,-13222.76245400442
2011-08-01,-10151.445468176851,-13222.76245400442
2011-08-02,-10151.445468176851,-13222.76245400442
2011-08-03,-10151.445468176851,-13222.76245400442
2011-08-04,-11164.480558343126,-15871.867684799814
2011-08-05,-11164.480558343126,-15871.867684799814
2011-08-08,-12696.901237186112,-20804.018209556492
2011-08-09,-12696.901237186112,-20804.018209556492
2011-08-10,-12752.240026415555,-21043.81962955075
2011-08-11,-12752.240026415555,-21043.81962955075
2011-08-12,-12752.240026415555,-21043.81962955075
2011-08-15,-12752.240026415555,-21043.81962955075
2011-08-16,-12752.240026415555,-21043.81962955075
2011-08-17,-12752.240026415555,-21043.81962955075
2011-08-18,-13570.872374884791,-22374.018162189623
2011-08-19,-13570.872374884791,-22374.018162189623
2011-08-22,-13570.872374884791,-22374.018162189623
2011-08-23,-13570.872374884791,-22374.018162189623
2011-08-24,-13570.872374884791,-22374.018162189623
2011-08-25,-13570.872374884791,-22374.018162189623
2011-08-26,-13570.872374884791,-22374.018162189623
2011-08-29,-13570.872374884791,-22374.018162189623
2011-08-30,-13570.872374884791,-22374.018162189623
2011-08-31,-13570.872374884791,-22374.018162189623
2011-09-01,-13570.872374884791,-22374.018162189623
2011-09-02,-13570.872374884791,-22374.018162189623
2011-09-06,-13570.872374884791,-22374.018162189623
2011-09-07,-13570.872374884791,-22374.018162189623
2011-09-08,-13570.872374884791,-22374.018162189623
2011-09-09,-14046.014621044022,-22374.018162189623
2011-09-12,-14046.014621044022,-22374.018162189623
2011-09-13,-14046.014621044022,-22374.018162189623
2011-09-14,-14046.014621044022,-22374.018162189623
2011-09-15,-14046.014621044022,-22374.018162189623
2011-09-16,-14046.014621044022,-22374.018162189623
2011-09-19,-14046.014621044022,-22374.018162189623
2011-09-20,-14046.014621044022,-22374.018162189623
2011-09-21,-14295.996142842749,-22374.018162189623
2011-09-22,-14730.226531015367,-22374.018162189623
2011-09-23,-14730.226531015367,-22374.018162189623
2011-09-26,-14730.226531015367,-22374.018162189623
2011-09-27,-14730.226531015367,-22374.018162189623
2011-09-28,-15240.649463026879,-22374.018162189623
2011-09-29,-15240.649463026879,-22374.018162189623
2011-09-30,-15240.649463026879,-22374.018162189623
2011-10-03,-15240.649463026879,-22374.018162189623
2011-10-04,-15240.649463026879,-22374.018162189623
2011-10-05,-15240.649463026879,-22374.018162189623
2011-10-06,-15240.649463026879,-22374.018162189623
2011-10-07,-15240.649463026879,-22374.018162189623
2011-10-10,-15240.649463026879,-22374.018162189623
2011-10-11,-15240.649463026879,-22374.018162189623
2011-10-12,-15240.649463026879,-22374.018162189623
2011-10-13,-15240.649463026879,-22374.018162189623
2011-10-14,-15240.649463026879,-22374.018162189623
2011-10-17,-15240.649463026879,-22374.018162189623
2011-10-18,-15153.044258808623,-22374.018162189623
2011-10-19,-15153.044258808623,-22374.018162189623
2011-10-20,-15153.044258808623,-22374.018162189623
2011-10-21,-15153.044258808623,-22374.018162189623
2011-10-24,-15153.044258808623,-22374.018162189623
