Date,return,VaR,breach
2011-01-03,3497.4923101629115,16688.76436351342,0
2011-01-04,-3611.270501543226,16688.76436351342,0
2011-01-05,-2881.509561420509,16688.76436351342,0
2011-01-06,-689.1990812453369,16688.76436351342,0
2011-01-07,-129.41231818366725,16688.76436351342,0
2011-01-10,1199.802166283128,16688.76436351342,0
2011-01-11,1599.3273052079053,16688.76436351342,0
2011-01-12,4043.76831829884,16688.76436351342,0
2011-01-13,-322.71116263551534,16688.76436351342,0
2011-01-14,1200.6834887877435,16688.76436351342,0
2011-01-18,680.8884710018069,16688.76436351342,0
2011-01-19,-3788.2494703217326,16688.76436351342,0
2011-01-20,-7121.925939028323,16688.76436351342,0
2011-01-21,3136.9977723623497,16688.76436351342,0
2011-01-24,2742.726147574357,16688.76436351342,0
2011-01-25,2389.967567657647,16688.76436351342,0
2011-01-26,-280.5849397998605,16688.76436351342,0
2011-01-27,-1137.6589569113005,16688.76436351342,0
2011-01-28,-6530.748543847607,16688.76436351342,0
2011-01-31,2108.7964185522337,16688.76436351342,0
2011-02-01,9358.818880572771,16688.76436351342,0
2011-02-02,-1495.052150946513,16688.76436351342,0
2011-02-03,1249.6855439795004,14842.133492358946,0
2011-02-04,-1467.3797773494434,14842.133492358946,0
2011-02-07,5054.06196788278,14842.133492358946,0
2011-02-08,2068.6340674011,14842.133492358946,0
2011-02-09,728.973679557907,14842.133492358946,0
2011-02-10,-2924.4459125579115,14842.133492358946,0
2011-02-11,6546.362539154678,14842.133492358946,0
2011-02-14,2320.402591440355,14842.133492358946,0
2011-02-15,369.7056974205783,14842.133492358946,0
2011-02-16,3115.2217691216533,14842.133492358946,0
2011-02-17,3228.046652653996,14842.133492358946,0
2011-02-18,879.7203828414611,14842.133492358946,0
2011-02-22,-7476.921596734905,14842.133492358946,0
2011-02-23,-1454.566879973073,14842.133492358946,0
2011-02-24,45.38917972758986,14842.133492358946,0
2011-02-25,8834.754058535573,14842.133492358946,0
2011-02-28,4336.995690879079,14842.133492358946,0
2011-03-01,-6804.389176297826,14842.133492358946,0
2011-03-02,-2708.791581113975,14842.133492358946,0
2011-03-03,5813.173219373401,14842.133492358946,0
2011-03-04,-1076.3889199144714,14842.133492358946,0
2011-03-07,-5933.488039555554,14842.133492358946,0
2011-03-08,3311.914355592893,14842.133492358946,0
2011-03-09,1606.98744387459,14842.133492358946,0
2011-03-10,-8820.999975163795,14842.133492358946,0
2011-03-11,3214.395956793114,14842.133492358946,0
2011-03-14,-3049.7519880400623,14842.133492358946,0
2011-03-15,-6023.634760145286,14842.133492358946,0
2011-03-16,-8434.363153243545,14842.133492358946,0
2011-03-17,6767.299466783691,14842.133492358946,0
2011-03-18,4373.225075894075,14842.133492358946,0
2011-03-21,8584.48066351057,14842.133492358946,0
2011-03-22,-1349.2194548545308,14842.133492358946,0
2011-03-23,2777.6154333650893,14842.133492358946,0
2011-03-24,2622.3286020309665,14842.133492358946,0
2011-03-25,1250.689219133083,14842.133492358946,0
2011-03-28,-1889.1500009964896,14842.133492358946,0
2011-03-29,1729.194745221415,14842.133492358946,0
2011-03-30,6609.793603983612,14842.133492358946,0
2011-03-31,-47.35614881506977,14842.133492358946,0
2011-04-01,3031.6879854322574,14842.133492358946,0
2011-04-04,1454.248756486557,14842.133492358946,0
2011-04-05,1257.9650341897088,14842.133492358946,0
2011-04-06,-1545.1481054366657,14842.133492358946,0
2011-04-07,-1889.061503976659,14842.133492358946,0
2011-04-08,-2199.7884027304744,14842.133492358946,0
2011-04-11,-2655.0796507007285,14842.133492358946,0
2011-04-12,-2907.2120639563377,14842.133492358946,0
2011-04-13,1823.212748423698,14842.133492358946,0
2011-04-14,2270.3068444591854,14842.133492358946,0
2011-04-15,6840.929719047681,14842.133492358946,0
2011-04-18,-5289.988861196985,14842.133492358946,0
2011-04-19,4511.064058829835,14842.133492358946,0
2011-04-20,7095.261133675161,14842.133492358946,0
2011-04-21,3087.406609607843,14842.133492358946,0
2011-04-25,447.53576428918353,14842.133492358946,0
2011-04-26,7048.903129639948,14842.133492358946,0
2011-04-27,4196.416692115143,14842.133492358946,0
2011-04-28,4468.068701703157,14842.133492358946,0
2011-04-29,4714.059083852175,14842.133492358946,0
2011-05-02,-2465.4911876843034,14842.133492358946,0
2011-05-03,-1280.7671051323052,14842.133492358946,0
2011-05-04,-5046.172248152917,14842.133492358946,0
2011-05-05,-7475.574235179966,14842.133492358946,0
2011-05-06,3442.883967216945,14842.133492358946,0
2011-05-09,4189.721523891566,14842.133492358946,0
2011-05-10,3831.438688635455,14842.133492358946,0
2011-05-11,-6306.128066318584,14842.133492358946,0
2011-05-12,1313.53487786731,14842.133492358946,0
2011-05-13,-3377.9079447980403,14842.133492358946,0
2011-05-16,-2694.916865210325,14842.133492358946,0
2011-05-17,1807.7756984140424,14842.133492358946,0
2011-05-18,2890.922650644263,14842.133492358946,0
2011-05-19,1374.1203244619924,13551.943628542722,0
2011-05-20,-2771.744508773954,13551.943628542722,0
2011-05-23,-5452.356902361988,13551.943628542722,0
2011-05-24,1207.0504918948936,13551.943628542722,0
2011-05-25,814.3777725687454,13551.943628542722,0
2011-05-26,4527.712760494187,13551.943628542722,0
2011-05-27,3682.959405687448,13551.943628542722,0
2011-05-31,6723.918983012603,13551.943628542722,0
2011-06-01,-10003.853288293463,13551.943628542722,0
2011-06-02,-5856.437741073003,13551.943628542722,0
2011-06-03,-3844.4730118008574,13355.223274852247,0
2011-06-06,-8024.888195774909,13355.223274852247,0
2011-06-07,715.8804516837209,13355.223274852247,0
