Date,VaR_95,VaR_99
2011-11-18,9743.250961727425,18624.326700432317
2011-11-21,10083.949214113973,18624.326700432317
2011-11-22,10083.949214113973,18624.326700432317
2011-11-23,10723.296433525044,18624.326700432317
2011-11-25,10723.296433525044,18624.326700432317
2011-11-28,10723.296433525044,18624.326700432317
2011-11-29,10723.296433525044,18624.326700432317
2011-11-30,10723.296433525044,18624.326700432317
2011-12-01,10723.296433525044,18624.326700432317
2011-12-02,10723.296433525044,18624.326700432317
2011-12-05,10723.296433525044,18624.326700432317
2011-12-06,10723.296433525044,18624.326700432317
2011-12-07,10723.296433525044,18624.326700432317
2011-12-08,11442.125294594167,18624.326700432317
2011-12-09,11442.125294594167,18624.326700432317
2011-12-12,11442.125294594167,18624.326700432317
2011-12-13,11442.125294594167,18624.326700432317
2011-12-14,11442.125294594167,18624.326700432317
2011-12-15,11442.125294594167,18624.326700432317
2011-12-16,11442.125294594167,18624.326700432317
2011-12-19,11442.125294594167,18624.326700432317
2011-12-20,11442.125294594167,18624.326700432317
2011-12-21,11442.125294594167,18624.326700432317
2011-12-22,11442.125294594167,18624.326700432317
2011-12-23,11442.125294594167,18624.326700432317
2011-12-27,11442.125294594167,18624.326700432317
2011-12-28,11442.125294594167,18624.326700432317
2011-12-29,11442.125294594167,18624.326700432317
2011-12-30,11442.125294594167,18624.326700432317
2012-01-03,11442.125294594167,18624.326700432317
2012-01-04,11442.125294594167,18624.326700432317
2012-01-05,11442.125294594167,18624.326700432317
2012-01-06,11442.125294594167,18624.326700432317
2012-01-09,11442.125294594167,18624.326700432317
2012-01-10,11442.125294594167,18624.326700432317
2012-01-11,11442.125294594167,18624.326700432317
2012-01-12,11442.125294594167,18624.326700432317
2012-01-13,11442.125294594167,18624.326700432317
2012-01-17,11442.125294594167,18624.326700432317
2012-01-18,11442.125294594167,18624.326700432317
2012-01-19,11442.125294594167,18624.326700432317
2012-01-20,11442.125294594167,18624.326700432317
2012-01-23,11442.125294594167,18624.326700432317
2012-01-24,11442.125294594167,18624.326700432317
2012-01-25,11442.125294594167,18624.326700432317
2012-01-26,11442.125294594167,18624.326700432317
2012-01-27,11442.125294594167,18624.326700432317
2012-01-30,11442.125294594167,18624.326700432317
2012-01-31,11442.125294594167,18624.326700432317
2012-02-01,11442.125294594167,18624.326700432317
2012-02-02,11442.125294594167,18624.326700432317
2012-02-03,11442.125294594167,18624.326700432317
2012-02-06,11442.125294594167,18624.326700432317
2012-02-07,11442.125294594167,18624.326700432317
2012-02-08,11442.125294594167,18624.326700432317
2012-02-09,11442.125294594167,18624.326700432317
2012-02-10,11442.125294594167,18624.326700432317
2012-02-13,11442.125294594167,18624.326700432317
2012-02-14,11442.125294594167,18624.326700432317
2012-02-15,11442.125294594167,18624.326700432317
2012-02-16,11442.125294594167,18624.326700432317
2012-02-17,11442.125294594167,18624.326700432317
2012-02-21,11442.125294594167,18624.326700432317
2012-02-22,11442.125294594167,18624.326700432317
2012-02-23,11442.125294594167,18624.326700432317
2012-02-24,11442.125294594167,18624.326700432317
2012-02-27,11442.125294594167,18624.326700432317
2012-02-28,11442.125294594167,18624.326700432317
2012-02-29,11589.377167387616,18624.326700432317
2012-03-01,11589.377167387616,18624.326700432317
2012-03-02,11589.377167387616,18624.326700432317
2012-03-05,11589.377167387616,18624.326700432317
2012-03-06,11589.377167387616,18624.326700432317
2012-03-07,11589.377167387616,18624.326700432317
2012-03-08,11589.377167387616,18624.326700432317
2012-03-09,11589.377167387616,18624.326700432317
2012-03-12,11589.377167387616,18624.326700432317
2012-03-13,11589.377167387616,18624.326700432317
2012-03-14,11589.377167387616,18624.326700432317
2012-03-15,11589.377167387616,18624.326700432317
2012-03-16,11589.377167387616,18624.326700432317
2012-03-19,11589.377167387616,18624.326700432317
2012-03-20,11589.377167387616,18624.326700432317
2012-03-21,11589.377167387616,18624.326700432317
2012-03-22,11589.377167387616,18624.326700432317
2012-03-23,11589.377167387616,18624.326700432317
2012-03-26,11589.377167387616,18624.326700432317
2012-03-27,11589.377167387616,18624.326700432317
2012-03-28,11589.377167387616,18624.326700432317
2012-03-29,11589.377167387616,18624.326700432317
2012-03-30,11589.377167387616,18624.326700432317
2012-04-02,11589.377167387616,18624.326700432317
2012-04-03,11589.377167387616,18624.326700432317
2012-04-04,11589.377167387616,18624.326700432317
2012-04-05,11589.377167387616,18624.326700432317
2012-04-09,11589.377167387616,18624.326700432317
2012-04-10,11589.377167387616,18624.326700432317
2012-04-11,11589.377167387616,18624.326700432317
2012-04-12,11589.377167387616,18624.326700432317
2012-04-13,11589.377167387616,18624.326700432317
2012-04-16,11589.377167387616,18624.326700432317
2012-04-17,11589.377167387616,18624.326700432317
2012-04-18,11589.377167387616,18624.326700432317
2012-04-19,11589.377167387616,18624.326700432317
2012-04-20,11589.377167387616,18624.326700432317
2012-04-23,11589.377167387616,18624.326700432317
2012-04-24,11589.377167387616,18624.326700432317
2012-04-25,11589.377167387616,18624.326700432317
2012-04-26,11589.377167387616,18624.326700432317
2012-04-27,11589.377167387616,18624.326700432317
2012-04-30,11589.377167387616,18624.326700432317
2012-05-01,11589.377167387616,18624.326700432317
2012-05-02,11589.377167387616,18624.326700432317
2012-05-03,11589.377167387616,18624.326700432317
2012-05-04,11589.377167387616,18624.326700432317
2012-05-07,11589.377167387616,18624.326700432317
2012-05-08,11589.377167387616,18624.326700432317
2012-05-09,11589.377167387616,18624.326700432317
2012-05-10,11589.377167387616,18624.326700432317
2012-05-11,11589.377167387616,18624.326700432317
2012-05-14,11589.377167387616,18624.326700432317
2012-05-15,11589.377167387616,18624.326700432317
2012-05-16,11589.377167387616,18624.326700432317
2012-05-17,11589.377167387616,18624.326700432317
2012-05-18,11589.377167387616,18624.326700432317
2012-05-21,11589.377167387616,18624.326700432317
2012-05-22,11589.377167387616,18624.326700432317
2012-05-23,11589.377167387616,18624.326700432317
2012-05-24,11589.377167387616,18624.326700432317
2012-05-25,11589.377167387616,18624.326700432317
2012-05-29,11589.377167387616,18624.326700432317
2012-05-30,11589.377167387616,18624.326700432317
2012-05-31,11589.377167387616,18624.326700432317
2012-06-01,11589.377167387616,18624.326700432317
2012-06-04,11589.377167387616,18624.326700432317
2012-06-05,11589.377167387616,18624.326700432317
2012-06-06,11589.377167387616,18624.326700432317
2012-06-07,11589.377167387616,18624.326700432317
2012-06-08,11589.377167387616,18624.326700432317
2012-06-11,11589.377167387616,18624.326700432317
2012-06-12,11589.377167387616,18624.326700432317
2012-06-13,11589.377167387616,18624.326700432317
2012-06-14,11589.377167387616,18624.326700432317
2012-06-15,11589.377167387616,18624.326700432317
2012-06-18,11589.377167387616,18624.326700432317
2012-06-19,11589.377167387616,18624.326700432317
2012-06-20,11589.377167387616,18624.326700432317
2012-06-21,11853.748896811005,18624.326700432317
2012-06-22,11853.748896811005,18624.326700432317
2012-06-25,11853.748896811005,18624.326700432317
2012-06-26,11853.748896811005,18624.326700432317
2012-06-27,11853.748896811005,18624.326700432317
2012-06-28,11853.748896811005,18624.326700432317
2012-06-29,11853.748896811005,18624.326700432317
2012-07-02,11853.748896811005,18624.326700432317
2012-07-03,11853.748896811005,18624.326700432317
2012-07-05,11853.748896811005,18624.326700432317
2012-07-06,11853.748896811005,18624.326700432317
2012-07-09,11853.748896811005,18624.326700432317
2012-07-10,11853.748896811005,18624.326700432317
2012-07-11,11853.748896811005,18624.326700432317
2012-07-12,11853.748896811005,18624.326700432317
2012-07-13,11853.748896811005,18624.326700432317
2012-07-16,11853.748896811005,18624.326700432317
2012-07-17,11853.748896811005,18624.326700432317
2012-07-18,11853.748896811005,18624.326700432317
2012-07-19,11853.748896811005,18624.326700432317
2012-07-20,11853.748896811005,18624.326700432317
2012-07-23,11853.748896811005,18624.326700432317
2012-07-24,11853.748896811005,18624.326700432317
2012-07-25,11853.748896811005,18624.326700432317
2012-07-26,11589.377167387616,18624.326700432317
2012-07-27,11589.377167387616,18624.326700432317
2012-07-30,11589.377167387616,18624.326700432317
2012-07-31,11589.377167387616,18624.326700432317
2012-08-01,11589.377167387616,18624.326700432317
2012-08-02,11589.377167387616,18624.326700432317
2012-08-03,11442.125294594167,17576.244534367266
2012-08-06,11442.125294594167,17576.244534367266
2012-08-07,10668.659230308287,16384.169251184852
2012-08-08,10668.659230308287,16384.169251184852
2012-08-09,9851.961327082066,16384.169251184852
2012-08-10,9851.961327082066,16384.169251184852
2012-08-13,9851.961327082066,16384.169251184852
2012-08-14,9851.961327082066,16384.169251184852
2012-08-15,9851.961327082066,16384.169251184852
2012-08-16,9851.961327082066,16384.169251184852
2012-08-17,9610.235157595947,15285.764639101884
2012-08-20,9610.235157595947,15285.764639101884
2012-08-21,9610.235157595947,15285.764639101884
2012-08-22,9610.235157595947,15285.764639101884
2012-08-23,9610.235157595947,15285.764639101884
2012-08-24,9610.235157595947,15285.764639101884
2012-08-27,9610.235157595947,15285.764639101884
2012-08-28,9610.235157595947,15285.764639101884
2012-08-29,9610.235157595947,15285.764639101884
2012-08-30,9610.235157595947,15285.764639101884
2012-08-31,9610.235157595947,15285.764639101884
2012-09-04,9610.235157595947,15285.764639101884
2012-09-05,9610.235157595947,15285.764639101884
2012-09-06,9610.235157595947,15285.764639101884
2012-09-07,9610.235157595947,15285.764639101884
2012-09-10,9546.572180262981,15285.764639101884
2012-09-11,9546.572180262981,15285.764639101884
2012-09-12,9546.572180262981,15285.764639101884
2012-09-13,9546.572180262981,15285.764639101884
2012-09-14,9546.572180262981,15285.764639101884
2012-09-17,9546.572180262981,15285.764639101884
2012-09-18,9546.572180262981,15285.764639101884
2012-09-19,9546.572180262981,15285.764639101884
2012-09-20,9273.549020738834,15285.764639101884
2012-09-21,8992.652427132489,14931.53895010974
2012-09-24,8807.345703242847,14931.53895010974
2012-09-25,8807.345703242847,14931.53895010974
2012-09-26,8807.345703242847,14931.53895010974
2012-09-27,8668.54899524953,13512.83919295393
2012-09-28,8668.54899524953,13512.83919295393
2012-10-01,8602.783037590303,13512.83919295393
2012-10-02,8602.783037590303,13512.83919295393
2012-10-03,8602.783037590303,13512.83919295393
2012-10-04,8602.783037590303,13512.83919295393
2012-10-05,8602.783037590303,13512.83919295393
2012-10-08,8602.783037590303,13512.83919295393
2012-10-09,8602.783037590303,13512.83919295393
2012-10-10,8602.783037590303,13512.83919295393
2012-10-11,8602.783037590303,13512.83919295393
2012-10-12,8602.783037590303,13512.83919295393
2012-10-15,8602.783037590303,13512.83919295393
2012-10-16,8602.783037590303,13512.83919295393
2012-10-17,8602.783037590303,13512.83919295393
2012-10-18,7875.987432488518,13512.83919295393
2012-10-19,8420.66522656437,13512.83919295393
2012-10-22,8420.66522656437,13512.83919295393
2012-10-23,8420.66522656437,13512.83919295393
2012-10-24,8420.66522656437,13512.83919295393
2012-10-25,8420.66522656437,13512.83919295393
2012-10-26,8420.66522656437,13512.83919295393
2012-10-31,8420.66522656437,13512.83919295393
2012-11-01,8420.66522656437,13512.83919295393
2012-11-02,8420.66522656437,13512.83919295393
2012-11-05,8420.66522656437,13512.83919295393
2012-11-06,8420.66522656437,13512.83919295393
2012-11-07,8606.05905055327,13512.83919295393
2012-11-08,8606.05905055327,13512.83919295393
2012-11-09,8606.05905055327,13512.83919295393
2012-11-12,8420.66522656437,12650.693879620683
2012-11-13,8420.66522656437,12650.693879620683
2012-11-14,8420.66522656437,12650.693879620683
2012-11-15,8420.66522656437,12650.693879620683
2012-11-16,8420.66522656437,12650.693879620683
2012-11-19,8087.404543121449,12650.693879620683
2012-11-20,7588.46094639139,12650.693879620683
2012-11-21,7588.46094639139,12650.693879620683
2012-11-23,7343.591194662924,11716.310447377247
2012-11-26,7343.591194662924,11716.310447377247
2012-11-27,7235.938096421112,11052.001033447594
2012-11-28,7235.938096421112,11052.001033447594
2012-11-29,7235.938096421112,11052.001033447594
2012-11-30,7235.938096421112,11052.001033447594
2012-12-03,7235.938096421112,11052.001033447594
2012-12-04,7235.938096421112,11052.001033447594
2012-12-05,7235.938096421112,11052.001033447594
2012-12-06,7235.938096421112,11052.001033447594
2012-12-07,7235.938096421112,11052.001033447594
2012-12-10,7235.938096421112,11052.001033447594
2012-12-11,7123.710320865217,9868.72805711801
2012-12-12,7123.710320865217,9868.72805711801
2012-12-13,6919.479748159592,9614.097008983716
2012-12-14,6919.479748159592,9614.097008983716
2012-12-17,6676.944136292376,9614.097008983716
2012-12-18,6676.944136292376,9614.097008983716
2012-12-19,6676.944136292376,9614.097008983716
2012-12-20,6676.944136292376,9614.097008983716
2012-12-21,6676.944136292376,9614.097008983716
2012-12-24,6676.944136292376,9614.097008983716
2012-12-26,6676.944136292376,9614.097008983716
2012-12-27,6676.944136292376,9614.097008983716
2012-12-28,6676.944136292376,9614.097008983716
2012-12-31,6367.719827240789,9614.097008983716
2013-01-02,6367.719827240789,9614.097008983716
2013-01-03,6594.64649685444,9614.097008983716
2013-01-04,6594.64649685444,9614.097008983716
2013-01-07,6594.64649685444,9614.097008983716
2013-01-08,6594.64649685444,9614.097008983716
2013-01-09,6594.64649685444,9614.097008983716
2013-01-10,6594.64649685444,9614.097008983716
