Date,PnL
2011-03-10,-8820.999975163795
2011-03-11,3214.395956793114
2011-03-14,-3049.7519880400623
2011-03-15,-6023.634760145286
2011-03-16,-8434.363153243545
2011-03-17,6767.299466783691
2011-03-18,4373.225075894075
2011-03-21,8584.48066351057
2011-03-22,-1349.2194548545308
2011-03-23,2777.6154333650893
2011-03-24,2622.3286020309665
2011-03-25,1250.689219133083
2011-03-28,-1889.1500009964896
2011-03-29,1729.194745221415
2011-03-30,6609.793603983612
2011-03-31,-47.35614881506977
2011-04-01,3031.6879854322574
2011-04-04,1454.248756486557
2011-04-05,1257.9650341897088
2011-04-06,-1545.1481054366657
2011-04-07,-1889.061503976659
2011-04-08,-2199.7884027304744
2011-04-11,-2655.0796507007285
2011-04-12,-2907.2120639563377
2011-04-13,1823.212748423698
2011-04-14,2270.3068444591854
2011-04-15,6840.929719047681
2011-04-18,-5289.988861196985
2011-04-19,4511.064058829835
2011-04-20,7095.261133675161
2011-04-21,3087.406609607843
2011-04-25,447.53576428918353
2011-04-26,7048.903129639948
2011-04-27,4196.416692115143
2011-04-28,4468.068701703157
2011-04-29,4714.059083852175
2011-05-02,-2465.4911876843034
2011-05-03,-1280.7671051323052
2011-05-04,-5046.172248152917
2011-05-05,-7475.574235179966
2011-05-06,3442.883967216945
2011-05-09,4189.721523891566
2011-05-10,3831.438688635455
2011-05-11,-6306.1280663185835
2011-05-12,1313.53487786731
2011-05-13,-3377.9079447980403
2011-05-16,-2694.916865210325
2011-05-17,1807.7756984140422
2011-05-18,2890.922650644263
2011-05-19,1374.1203244619924
2011-05-20,-2771.744508773954
2011-05-23,-5452.3569023619875
2011-05-24,1207.0504918948936
2011-05-25,814.3777725687454
2011-05-26,4527.712760494187
2011-05-27,3682.9594056874475
2011-05-31,6723.918983012603
2011-06-01,-10003.853288293463
2011-06-02,-5856.437741073003
2011-06-03,-3844.4730118008583
2011-06-06,-8024.888195774909
2011-06-07,715.8804516837209
2011-06-08,-1182.607906059284
2011-06-09,4301.0454506734695
2011-06-10,-7813.758657013925
2011-06-13,-2279.076847873896
2011-06-14,4669.436835569727
2011-06-15,-5811.210539056692
2011-06-16,2302.661852972539
2011-06-17,1577.0502782771885
2011-06-20,3461.4582890093425
2011-06-21,7784.071797825266
2011-06-22,-3242.4529924538515
2011-06-23,-2476.608012038033
2011-06-24,-10181.844234561266
2011-06-27,1326.1177681509266
2011-06-28,6284.253006637331
2011-06-29,4412.205857050203
2011-06-30,4104.570398246542
2011-07-01,7297.327199481792
2011-07-05,2835.947070861999
2011-07-06,3287.275400515679
2011-07-07,5691.541155496452
2011-07-08,342.66903745864823
2011-07-11,-5894.864912552576
2011-07-12,-583.3148887222702
2011-07-13,4039.0773586452474
2011-07-14,-7360.39731379109
2011-07-15,4528.063968029303
2011-07-18,-6052.238497658444
2011-07-19,12963.934427552176
2011-07-20,-2023.5794778729921
2011-07-21,5183.978780270021
2011-07-22,3527.112336908585
2011-07-25,-4933.333159880336
2011-07-26,-131.80692419568308
2011-07-27,-12938.77590770268
2011-07-28,-685.7144890842109
2011-07-29,1705.8986163740628
2011-08-01,-587.69903122217
2011-08-02,-4560.227354032088
2011-08-03,3706.460259141657
2011-08-04,-20835.44880438947
2011-08-05,-7185.437802675514
2011-08-08,-27735.22748197271
2011-08-09,29358.403312187158
2011-08-10,-14560.782602290066
2011-08-11,10074.307267898132
2011-08-12,8241.924991091519
2011-08-15,11625.946565094722
2011-08-16,799.0284054484763
2011-08-17,5171.355594112261
2011-08-18,-18551.378200206695
2011-08-19,-5999.755940251637
2011-08-22,3667.320645039978
2011-08-23,10224.550927938208
2011-08-24,-3988.9978892678296
2011-08-25,-5907.256400839011
2011-08-26,15494.484010749735
2011-08-29,10461.186303141943
2011-08-30,9995.49854052573
2011-08-31,-2396.9627674525136
2011-09-01,-946.2766251290479
2011-09-02,-3075.3126273010917
2011-09-06,-2086.8095111659686
2011-09-07,7021.251674083781
2011-09-08,-81.54248858023658
2011-09-09,-14201.73739584488
2011-09-12,750.0795882678661
2011-09-13,3473.2005941018065
2011-09-14,9235.60929184288
2011-09-15,4016.9015559826175
2011-09-16,6747.034268340444
2011-09-19,-3618.604806064299
2011-09-20,2471.0866308221866
2011-09-21,-11684.122936626996
2011-09-22,-14465.995021407836
2011-09-23,-9530.030876355222
2011-09-26,7955.860471352303
2011-09-27,5692.263771032886
2011-09-28,-16639.351404443118
2011-09-29,7862.282878230802
2011-09-30,-8640.122870419273
2011-10-03,-7808.046276518757
2011-10-04,6695.226862057117
2011-10-05,10922.843568309987
2011-10-06,7066.118235421489
2011-10-07,-7114.1319081704505
2011-10-10,19988.348091219803
2011-10-11,-1314.7014485157238
2011-10-12,2646.2835217155034
2011-10-13,398.65095440198417
2011-10-14,7523.948387030839
2011-10-17,-7997.848591115438
2011-10-18,9335.67095039847
2011-10-19,-9063.700229779979
2011-10-20,-1150.120611337726
2011-10-21,10280.36811141133
2011-10-24,9135.312426818973
2011-10-25,-1309.0061596374194
2011-10-26,3288.883747016389
2011-10-27,13838.5410767149
2011-10-28,2537.1870401258852
2011-10-31,-6948.291244777395
2011-11-01,-8703.292036708734
2011-11-02,8068.126544195633
2011-11-03,9722.31032181122
2011-11-04,-4131.874532278767
2011-11-07,8884.276474886228
2011-11-08,3181.4848797145237
2011-11-09,-18700.252690463065
2011-11-10,1058.647307563674
2011-11-11,12109.821653285833
2011-11-14,-2379.6109734454385
2011-11-15,2755.7184475516797
2011-11-16,-8934.522406784545
2011-11-17,-11511.85790164631
2011-11-18,-236.09251980425518
2011-11-21,-13771.434846913438
2011-11-22,2065.1088321815273
2011-11-23,-11385.07134336969
2011-11-25,-6097.4957077545005
2011-11-28,19945.215544568164
2011-11-29,-131.7282785483237
2011-11-30,23153.639339246518
2011-12-01,-1795.0152986363717
2011-12-02,3119.4701649017943
2011-12-05,3769.314048778925
2011-12-06,-1438.5599834843633
2011-12-07,4207.376954055122
2011-12-08,-13264.384545032051
2011-12-09,5265.508079552845
2011-12-12,-10082.503865076256
2011-12-13,-6624.881930127637
2011-12-14,-7101.198920140106
2011-12-15,685.5225935879051
2011-12-16,6616.1372621778955
2011-12-19,-3649.9463411423585
2011-12-20,13601.518007229222
2011-12-21,-2168.9978387065967
2011-12-22,5266.090876897515
2011-12-23,2804.3420889475287
2011-12-27,309.8238804695318
2011-12-28,-7151.2242550848
2011-12-29,5937.243555510973
2011-12-30,-514.2587380391518
2012-01-03,9534.527287287476
2012-01-04,-1291.785707670876
2012-01-05,2170.82675384724
2012-01-06,-134.8052953541771
2012-01-09,342.7962591865252
2012-01-10,6794.659804733469
2012-01-11,4529.0647250296915
2012-01-12,1748.6268033759484
2012-01-13,-1690.130095903851
2012-01-17,4642.800560101383
2012-01-18,4577.293850965051
2012-01-19,-657.7768954048662
2012-01-20,173.55701030786142
2012-01-23,-2129.096651467892
2012-01-24,-1293.8322314622621
2012-01-25,8426.084193721907
2012-01-26,971.0232118207689
2012-01-27,2028.2110431203678
2012-01-30,37.192405818578194
2012-01-31,3781.0714793262982
2012-02-01,2572.446240049171
2012-02-02,2157.85963454365
2012-02-03,-98.76194598047944
2012-02-06,1662.2305870735572
2012-02-07,639.6886550687408
2012-02-08,906.9990781300897
2012-02-09,-1550.2653653502641
2012-02-10,-2010.6305611203536
2012-02-13,5101.059841013519
2012-02-14,216.29786949670196
2012-02-15,-2363.325236133556
2012-02-16,4502.346906242576
2012-02-17,939.6762513400755
2012-02-21,736.2391881999201
2012-02-22,2861.293355547972
2012-02-23,2710.1583710561235
2012-02-24,2251.8843667548467
2012-02-27,2747.6435844162957
2012-02-28,2478.8940908836053
2012-02-29,-12061.06951481369
2012-03-01,2839.906088941595
2012-03-02,260.775802022037
2012-03-05,-5067.706180921582
2012-03-06,-8520.548401947954
2012-03-07,3491.186996562193
2012-03-08,4930.3744104220505
2012-03-09,3807.3020601703147
2012-03-12,-1185.300142497194
2012-03-13,3743.0710055042205
2012-03-14,-9566.789329483578
2012-03-15,5258.607410914655
2012-03-16,1529.151994483891
2012-03-19,-384.8303736790812
2012-03-20,-2113.7338260643983
2012-03-21,1902.7361788758828
2012-03-22,-4134.21059980192
2012-03-23,6119.135250688269
2012-03-26,9720.459806343964
2012-03-27,-1138.0200167076107
2012-03-28,-4933.5641694781125
2012-03-29,629.2615972379431
2012-03-30,-1007.8144426767623
2012-04-02,6510.809163800579
2012-04-03,-9663.335614177737
2012-04-04,-5098.411865373336
2012-04-05,2545.51007715444
