Ticker,Component_VaR,Component_%,Marginal_VaR
SPY,9591.579079004237,0.8906037182263697,15985.965131673729
TLT,319.7867499491441,0.029693053270828197,1279.1469997965764
GLD,858.3838169450117,0.0797032285028021,5722.558779633412
